trial_num,jspsychID,stimulus,agent,time_elapse,causal_rating,counterfactual_rating,animacy_rating,rt_1,rt_2,rt_3,trial_rt,subject_id,outcome,cf,outcome_CF_match,vid_num
66,s6x52p2895xf99y,9a_in_in.mp4,animate,2015125.0,77,28,100,7301.0,55997.70000004768,57616.5,154551.20000004768,3,in,in,True,9
68,s6x52p2895xf99y,3a_in_out_med.mp4,animate,2039222.0,73,18,100,16981.099999904633,18348.5,21826.199999809265,22820.699999809265,3,in,out,False,3
70,s6x52p2895xf99y,18p_out_out_far.mp4,inanimate,2066163.0,36,24,1,11631.799999952316,19117.29999995232,25172.200000047684,26409.29999995232,3,out,out,True,18
72,s6x52p2895xf99y,1a_in_out_close.mp4,animate,2237440.0,60,76,100,157572.0,159715.90000009537,167850.60000014305,170014.29999995232,3,in,out,False,1
74,s6x52p2895xf99y,23a_out_in_far.mp4,animate,2328254.0,76,93,100,77580.90000009537,81411.5,89018.0,90041.59999990463,3,out,in,False,23
76,s6x52p2895xf99y,19a_out_in_close.mp4,animate,2356140.0,44,27,100,13374.299999952316,16599.5,25329.200000047684,27613.700000047684,3,out,in,False,19
78,s6x52p2895xf99y,7p_in_in.mp4,inanimate,2451054.0,1,100,1,65767.0,83219.29999995232,91908.39999985696,93391.09999990465,3,in,in,True,7
80,s6x52p2895xf99y,19p_out_in_close.mp4,inanimate,2503556.0,57,64,1,11093.099999904633,49409.70000004768,46479.20000004768,52227.5,3,out,in,False,19
82,s6x52p2895xf99y,23p_out_in_far.mp4,inanimate,2559051.0,54,18,1,33142.59999990463,42831.20000004768,53088.5,54227.20000004768,3,out,in,False,23
84,s6x52p2895xf99y,6p_in_out_far.mp4,inanimate,2718151.0,63,1,1,110057.60000014304,117266.90000009535,157665.90000009537,158823.20000004768,3,in,out,False,6
86,s6x52p2895xf99y,14p_out_out_close_.mp4,inanimate,2780787.0,65,43,58,33677.700000047684,60833.70000004768,19017.29999995232,62362.79999995232,3,out,out,True,14
88,s6x52p2895xf99y,12a_in_in.mp4,animate,2797006.0,53,100,100,9203.0,11250.899999856949,14515.5,15701.0,3,in,in,True,12
90,s6x52p2895xf99y,5p_in_out_far.mp4,inanimate,2833858.0,77,1,1,14195.799999952316,20024.0,28084.200000047684,36329.20000004768,3,in,out,False,5
92,s6x52p2895xf99y,3p_in_out_med.mp4,inanimate,2865524.0,80,22,1,24682.900000095367,26163.79999995232,28912.29999995232,29896.29999995232,3,in,out,False,3
94,s6x52p2895xf99y,4a_in_out_med.mp4,animate,2889935.0,77,24,100,17638.700000047684,19548.10000014305,22218.0,23377.900000095367,3,in,out,False,4
96,s6x52p2895xf99y,7a_in_in.mp4,animate,2907894.0,1,100,100,11497.299999952316,13278.700000047684,16611.60000014305,17430.0,3,in,in,True,7
98,s6x52p2895xf99y,16p_out_out_med.mp4,inanimate,2936814.0,45,25,1,10968.299999952316,14934.400000095367,25622.400000095367,28396.900000095367,3,out,out,True,16
100,s6x52p2895xf99y,24a_out_in_far.mp4,animate,2980172.0,26,25,100,35603.90000009537,37269.10000014305,40503.70000004768,41341.10000014305,3,out,in,False,24
6,sgm5w7sjf8u1y6r,2p_in_out_close.mp4,inanimate,109317.0,100,23,83,17661.39999999106,48044.29999999702,45302.29999999702,48511.29999999702,4,in,out,False,2
8,sgm5w7sjf8u1y6r,3a_in_out_med.mp4,animate,147523.0,100,4,100,32461.29999999702,36695.29999999702,17354.20000000298,37199.40000000596,4,in,out,False,3
10,sgm5w7sjf8u1y6r,20p_out_in_close.mp4,inanimate,170584.0,83,100,3,12672.0,16865.20000000298,21332.0,21806.09999999404,4,out,in,False,20
12,sgm5w7sjf8u1y6r,8a_in_in.mp4,animate,192707.0,1,100,100,13539.29999999702,15415.5,19830.29999999702,20368.39999999106,4,in,in,True,8
14,sgm5w7sjf8u1y6r,9a_in_in.mp4,animate,227854.0,81,81,100,32533.70000000298,26833.40000000596,16524.60000000894,33892.60000000894,4,in,in,True,9
16,sgm5w7sjf8u1y6r,23a_out_in_far.mp4,animate,262031.0,25,76,100,20969.19999998808,24825.5,32684.09999999404,33170.39999999106,4,out,in,False,23
18,sgm5w7sjf8u1y6r,4p_in_out_med.mp4,inanimate,278168.0,89,17,1,10872.20000000298,13056.09999999404,14927.0,15382.59999999404,4,in,out,False,4
20,sgm5w7sjf8u1y6r,1p_in_out_close.mp4,inanimate,315471.0,63,57,51,22353.39999999106,29549.29999999702,35735.19999998808,36047.5,4,in,out,False,1
22,sgm5w7sjf8u1y6r,18p_out_out_far.mp4,inanimate,357374.0,1,3,1,34779.40000000596,36816.90000000596,39924.29999999702,40646.60000000894,4,out,out,True,18
24,sgm5w7sjf8u1y6r,16p_out_out_med.mp4,inanimate,377244.0,76,31,21,14872.60000000894,16186.60000000894,17803.80000001192,18114.70000000298,4,out,out,True,16
26,sgm5w7sjf8u1y6r,17a_out_out_far.mp4,animate,391272.0,1,1,100,9644.29999999702,10630.09999999404,12268.40000000596,12774.29999999702,4,out,out,True,17
28,sgm5w7sjf8u1y6r,14a_out_out_close.mp4,animate,409698.0,100,100,100,11579.10000000894,17723.20000000298,10078.10000000894,18173.20000000298,4,out,out,True,14
30,sgm5w7sjf8u1y6r,1a_in_out_close.mp4,animate,443582.0,1,38,100,26448.70000000298,28796.79999999702,31094.70000000298,31685.70000000298,4,in,out,False,1
32,sgm5w7sjf8u1y6r,7a_in_in.mp4,animate,460089.0,1,100,100,8363.09999999404,13140.79999999702,15136.0,15503.09999999404,4,in,in,True,7
34,sgm5w7sjf8u1y6r,15a_out_out_close.mp4,animate,482356.0,82,81,100,9848.80000001192,16927.70000000298,20714.60000000894,21262.90000000596,4,out,out,True,15
36,sgm5w7sjf8u1y6r,17p_out_out_far.mp4,inanimate,506965.0,3,2,6,11172.10000000894,14021.90000000596,23406.10000000894,23854.10000000894,4,out,out,True,17
38,sgm5w7sjf8u1y6r,24p_out_in_far.mp4,inanimate,522634.0,1,1,1,7660.5,8894.09999999404,13767.29999999702,14414.5,4,out,in,False,24
40,sgm5w7sjf8u1y6r,9p_in_in.mp4,inanimate,547533.0,40,72,1,18193.5,20018.70000000298,24227.5,24644.59999999404,4,in,in,True,9
42,sgm5w7sjf8u1y6r,3p_in_out_med.mp4,inanimate,561506.0,100,1,1,6601.0,8865.0,11894.10000000894,12719.10000000894,4,in,out,False,3
44,sgm5w7sjf8u1y6r,6a_in_out_far.mp4,animate,574494.0,100,1,100,5476.0,9560.0,10693.0,11735.0,4,in,out,False,6
46,sgm5w7sjf8u1y6r,7p_in_in.mp4,inanimate,594666.0,1,100,41,6032.70000000298,7512.800000011921,17777.70000000298,18417.60000000894,4,in,in,True,7
48,sgm5w7sjf8u1y6r,22p_out_in_med.mp4,inanimate,610020.0,100,100,12,10357.10000000894,12474.30000001192,14685.10000000894,15100.20000000298,4,out,in,False,22
50,sgm5w7sjf8u1y6r,10p_in_in.mp4,inanimate,621645.0,31,77,13,6800.79999999702,8078.099999994039,11036.79999999702,11370.89999999106,4,in,in,True,10
52,sgm5w7sjf8u1y6r,13p_out_out_close_.mp4,inanimate,631240.0,100,100,1,5315.300000011921,6523.300000011921,8211.10000000894,8590.40000000596,4,out,out,True,13
54,sgm5w7sjf8u1y6r,24a_out_in_far.mp4,animate,652573.0,75,75,100,17733.0,17158.79999999702,20013.90000000596,20577.79999999702,4,out,in,False,24
56,sgm5w7sjf8u1y6r,5p_in_out_far.mp4,inanimate,664444.0,100,1,1,5924.20000000298,8785.29999999702,9941.09999999404,10616.29999999702,4,in,out,False,5
58,sgm5w7sjf8u1y6r,20a_out_in_close.mp4,animate,677302.0,100,100,100,6604.29999999702,9350.09999999404,10513.0,11104.09999999404,4,out,in,False,20
60,sgm5w7sjf8u1y6r,12p_in_in.mp4,inanimate,695667.0,1,100,1,10222.0,11210.70000000298,16649.70000000298,17360.90000000596,4,in,in,True,12
